Titre,Artiste,Mapper,Date de création,Date de ranked,État de la carte,Nominator,Genre,Langue,Playcount,Likes,Length,BPM,Circle Count,Slider Count,Circle Size,HP Drain,Accuracy,Approach Rate,Star Rating,Game Mode,Difficultés,URL
Portamento,Kawada Mami,James,2008-07-07,2008-07-23,CLASSÉE,"Saturos, MaxwellDemon",Pop,Japonais,38 466,16,3:28,"105,01",137,61,4,4,4,4,"2,10",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1968
Portamento,Kawada Mami,James,2008-07-07,2008-07-23,CLASSÉE,"Saturos, MaxwellDemon",Pop,Japonais,38 466,16,4:08,"105,01",396,85,5,6,6,6,"2,80",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1968
Do you like Waffles?,Parry Gripp,Pong,2008-07-07,2008-07-07,CIMETIÈRE,,Tous,Non spécifiée,0,1,0:32,"100,42",58,14,5,5,5,5,"2,50",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1969
Do you like Waffles?,Parry Gripp,Pong,2008-07-07,2008-07-07,CIMETIÈRE,,Tous,Non spécifiée,0,1,0:32,"100,42",102,7,5,7,5,5,"2,85",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1969
Super Mario Bros. (TECHNO remix),Nintendo,zzt,2008-07-07,2008-07-07,CIMETIÈRE,,Tous,Non spécifiée,0,1,0:01,"209,02",1,0,5,5,5,5,"0,14",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1970
Super Mario Bros. (TECHNO remix),Nintendo,zzt,2008-07-07,2008-07-07,CIMETIÈRE,,Tous,Non spécifiée,0,1,0:06,"209,02",8,0,5,5,5,5,"0,97",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1970
Tatakau Monotachi (FFVII AC Version),Nobuo Uematsu,zzt,2008-07-07,2008-07-07,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,1:31,170,211,0,7,4,7,7,"4,00",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1971
KAITO ni bo u so u shi te mo ra tta,KAITO,leostar,2008-07-07,2008-07-07,CIMETIÈRE,,Tous,Japonais,0,N/A,1:35,60,34,18,6,7,4,4,"2,40",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1972
"STOP IT MANG, WHATCU DOAEN ISS WROUNG!",Tobioriya,numbers,2008-07-07,2008-07-07,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,1:06,"114,32",51,0,9,9,8,8,"1,86",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1973
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/1974
